kwic_id,doc_id,doc_token_id,doc_file_name,hit_size,S1,S2,S3,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,
85,2,80,_10_1371_journal_pone_0055638.txt,1,1,1,1,deprivation ,at ,datazone ,level. ,GIS ,car ,and ,bus ,networks ,were ,created ,to ,determine ,the ,number ,of ,PA ,facilities ,accessible ,within ,
14,25,68,_10_1371_journal_pone_0064968.txt,1,1,1,1,an ,attempt ,to ,obtain ,high ,predictive ,"precision, ",but ,are ,rarely ,used ,for ,generic ,or ,theoretical ,purposes. ,Here ,we ,show ,that ,
175,72,170,_10_1371_journal_pone_0085557.txt,1,1,1,1,on ,specimen ,immobilization. ,More ,than  ,of ,the ,canals ,were ,successfully ,detected ,and ,tracked ,by ,the ,image-,processing ,method ,developed. ,Thus ,
230,71,39,_10_1371_journal_pone_0085470.txt,1,1,1,1,high ,diversity ,of ,organisms ,in ,tropical ,forest ,canopies ,and ,are ,considered ,a ,keystone ,resource. ,A ,number ,of ,amphibians ,inhabit ,these ,
305,84,144,_10_1371_journal_pone_0088463.txt,1,1,1,1,with 558 ,coffee ,producers. ,"Exposure, ",sensitivity ,and ,adaptive ,capacity ,were ,then ,condensed ,into ,an ,index ,of ,"vulnerability, ",and ,adaptation ,strategies ,were ,
60,84,129,_10_1371_journal_pone_0088463.txt,1,1,1,1,of ,sensitivity ,and ,eleven ,indicators ,of ,adaptive ,"capacity, ",which ,were ,evaluated ,through ,semi-,structured ,interviews ,with 558 ,coffee ,producers. ,"Exposure, ",sensitivity ,
143,46,196,_10_1371_journal_pone_0073695.txt,1,1,1,1,scale ,of 10 ,to 15 ,days ,before ,their ,"death, ",caribou ,that ,were ,killed ,by ,a ,predator ,selected ,for ,recent ,disturbances ,more ,than ,
240,34,66,_10_1371_journal_pone_0068636.txt,1,1,1,1,or ,who ,died ,after ,arrival ,to ,these ,centers ,were ,prospectively ,studied ,from ,April 2006 ,to ,October 2007. ,Demography ,of ,"patients, ",road-,user ,
315,37,34,_10_1371_journal_pone_0069469.txt,1,1,1,1,its ,street ,network ,during ,the ,last ,two ,centuries. ,This ,is ,done ,by ,employing ,a ,unique ,"dataset, ",consisting ,of ,the ,planar ,
75,38,120,_10_1371_journal_pone_0069472.txt,1,1,1,1,odds ,ratio = 1.7). ,Other ,objectively ,measured ,neighbourhood-,level ,characteristics ,were ,not ,associated ,with ,physical ,activity ,levels. ,Conclusions: ,Distance ,to ,nearest ,greenspace ,
294,84,106,_10_1371_journal_pone_0088463.txt,1,1,1,1,"Mexico, ","Guatemala, ",El ,Salvador ,and ,Nicaragua. ,Future ,climate ,projections ,were ,generated ,from 19 ,Global ,Circulation ,Models. ,Focus ,groups ,were ,used ,to ,
226,41,221,_10_1371_journal_pone_0071476.txt,1,1,1,1,and ,cold ,weather ,delayed ,the ,"onset, ",but ,cloud ,cover ,was ,assumed ,to ,reflect ,night ,light ,"emissions, ","thus, ",amplified ,sky ,luminance ,
335,87,103,_10_1371_journal_pone_0089664.txt,1,1,1,1,to ,the ,alpine ,zone. ,Observations ,of ,plant ,community ,composition ,were ,made ,together ,with ,"abiotic, ",biotic ,and ,anthropogenic ,factors ,in 60 ,T-,
267,77,101,_10_1371_journal_pone_0087244.txt,1,1,1,1,regions. ,"Additionally, ",built ,environment ,"analysis, ",and ,principal ,component ,analysis ,were ,conducted ,to ,verify ,patterns ,contributing ,to ,crash ,occurrence ,in ,the ,
228,63,157,_10_1371_journal_pone_0080178.txt,1,1,1,1,given ,segment ,into ,account. ,Two ,proof-,of-,concept ,cases ,are ,described ,here: ,Possible ,transfer ,of ,passenger ,flow ,to ,the ,road ,
160,84,56,_10_1371_journal_pone_0088463.txt,1,1,1,1,the ,Intergovernmental ,Panel ,on ,Climate ,Change (,IPCC) ,"concepts, ",vulnerability ,was ,defined ,as ,the ,combination ,of ,"exposure, ",sensitivity ,and ,adaptive ,capacity. ,
62,21,177,_10_1371_journal_pone_0064582.txt,1,1,1,1,freedom ,of ,choice ,and ,action). ,Since ,the ,conceptual ,framework ,is ,based ,on ,the ,generalizable ,MA ,"framework, ",our ,methods ,should ,also ,
246,35,163,_10_1371_journal_pone_0069254.txt,1,1,1,1,the ,new ,system ,to ,be ,an ,improvement, ,"consequently, ",they ,were ,frustrated ,that ,it ,was ,differentiated ,from ,and ,not ,coherent ,with 
55,1,143,_10_1371_journal_pone_0054582.txt,1,1,1,1,of ,Google ,Street ,View ,to ,ecologists ,and ,conservation ,biologists ,were ,evaluated: ,i) ,remotely ,identifying ,a ,species’ ,potential ,habitat ,and ,ii) ,
326,70,92,_10_1371_journal_pone_0083462.txt,1,1,1,1,measurement. ,The ,EC ,values ,measured ,with ,reflectance ,correction (,ECR) ,were ,found ,always ,higher ,and ,less ,sensitive ,to ,temperature ,program ,than ,
324,57,204,_10_1371_journal_pone_0077514.txt,1,1,1,1,clearcut ,edges ,and ,roads ,at ,low ,"densities, ",crossing ,rates ,were ,found ,to ,rapidly ,increase ,in ,greater ,disturbance ,densities. ,In ,some ,
82,89,168,_10_1371_journal_pone_0090835.txt,1,1,1,1,"SD 16.5, ",range 1–75) ,versus 10.5 (,"SD13.14, ",range 1–75) (,p<0.019). ,Zebra ,crosswalk ,accidents ,were ,associated ,with ,less ,risk ,of ,severe ,injury (,"OR 0.61, 95% ","CI 0.38–0.98, ",p<0.042). ,
220,83,81,_10_1371_journal_pone_0088445.txt,1,1,1,1,conductive ,failure ,pattern) ,from ,complex ,network. ,The ,crucial ,pipes ,are ,identified ,eventually. ,The ,proposed ,methodology ,is ,illustrated ,by ,an ,example. ,
190,18,197,_10_1371_journal_pone_0064128.txt,1,1,1,1,Stages 0 ,and 1. ,Neuron ,number ,after 24 ,hours ,of ,culture ,was ,not ,altered ,by ,prenatal ,nPM ,exposure. ,Addition ,of ,exogenous ,nPM (2 ,µg/,
318,44,176,_10_1371_journal_pone_0072984.txt,1,1,1,1,fitted. ,Results: ,Significantly ,lower ,densities ,of ,stone ,curlew ,nests ,were ,found ,at ,distances ,up ,to 1500,m ,from ,"settlements, ",and ,distances ,
264,50,71,_10_1371_journal_pone_0075308.txt,1,1,1,1,comprehensive ,review ,of ,the ,costs ,of ,various ,decontamination ,methods ,was ,conducted ,as ,part ,of ,the ,analysis. ,The ,results ,indicate ,that ,
34,0,169,_10_1371_journal_pone_0053755.txt,1,1,1,1,rural ,clusters. ,In ,rural ,"clusters, ",ITN ,coverage/,density ,was ,positively ,correlated ,with ,population ,density (,"r = 0.25, 0.27 ","respectively, ","p<0.01), ",and ,negatively ,with ,
123,74,167,_10_1371_journal_pone_0086294.txt,1,1,1,1,were ,labeled ,using ,fluorescent ,dyes ,and ,resin-,dentin ,interfaces ,were ,analyzed ,using ,Confocal ,Laser ,Scanning ,Microscopy (,CLSM). ,Bond ,strengths ,were ,
234,68,42,_10_1371_journal_pone_0082640.txt,1,1,1,1,city ,of ,China. ,Methods: ,A ,population-,based ,descriptive ,study ,was ,carried ,out ,between 2007 ,and 2010 ,with ,RTI ,patient ,records ,from ,the ,
199,63,26,_10_1371_journal_pone_0080178.txt,1,1,1,1,peak ,urban ,rail ,transit (,URT) ,ODs (,origin-,destination ,matrix) ,were ,estimated ,and ,the ,most ,vulnerable ,URT ,"segments, ",those ,capable ,of ,
70,14,214,_10_1371_journal_pone_0062712.txt,1,1,1,1,highest ,levels ,of ,ARGs ,"detected, ",sulI ,and ,"dfrA1, ",were ,directly ,associated ,with ,the ,antibiotics ,detected ,at ,the ,highest ,"concentrations, ",sulfamethoxazole ,
181,16,84,_10_1371_journal_pone_0063385.txt,1,1,1,1,to ,a ,generative ,probabilistic ,model. ,"Meanwhile, ",a ,discriminative ,functionality ,is ,incorporated ,into ,the ,model ,to ,interpret ,the ,differences ,among ,all ,
72,31,158,_10_1371_journal_pone_0067575.txt,1,1,1,1,to ,work. ,In ,adjusted ,"analyses, ",home-,work ,distance ,was ,strongly ,associated ,with ,mode ,"choice, ",particularly ,for ,walking. ,Lower ,odds ,of ,
341,23,132,_10_1371_journal_pone_0064782.txt,1,1,1,1,for ,calculation ,of ,blink ,duration) ,and ,several ,driving ,measure ,were ,taken ,and ,synchronized ,with ,the ,reporting. ,Based ,on ,mixed ,model ,
313,97,45,_10_1371_journal_pone_0093925.txt,1,1,1,1,identifiers ,and ,as ,walking ,directions, ,when ,an ,entire ,community ,is ,"enumerated, ",LBHCS ,codes ,can ,be ,used ,to ,identify ,the ,number 
194,31,98,_10_1371_journal_pone_0067575.txt,1,1,1,1,characteristics. ,Using ,geographic ,information ,system (,GIS) ,"software, 30 ",exposure ,variables ,were ,produced ,capturing ,characteristics ,of ,areas ,around ,participants' ,homes ,and ,workplaces ,
212,78,141,_10_1371_journal_pone_0087470.txt,1,1,1,1,to ,investigate ,the ,subjects' ,visual ,exploration ,"ability, ",eye ,movements ,were ,recorded ,by ,means ,of ,a ,mobile ,eye ,tracker. ,Two ,additional ,
191,18,124,_10_1371_journal_pone_0064128.txt,1,1,1,1,and ,adult ,behaviors. ,Adult ,C57,BL/6,J ,female ,mice ,were ,exposed ,to ,re-,aerosolized ,nPM (350 ,µg/,m3) ,or ,control ,filtered ,
338,57,177,_10_1371_journal_pone_0077514.txt,1,1,1,1,at ,night. ,The ,local ,context ,in ,which ,females ,moved ,was ,shown ,to ,influence ,their ,decision ,to ,cross ,clearcut ,edges ,and ,
239,92,192,_10_1371_journal_pone_0091833.txt,1,1,1,1,the ,Australian ,southern ,rock ,lobster ,Jasus ,edwardsii ,"fishery, ",which ,is ,challenged ,by ,a ,number ,of ,climate ,change ,drivers ,such ,as ,
238,71,85,_10_1371_journal_pone_0085470.txt,1,1,1,1,at ∼20–45 ,m (,x¯ = 33 ,m) ,above ,the ,forest ,floor. ,Bromeliads ,were ,sampled ,from ,trees ,located ,near ,trails ,in ,undisturbed ,primary ,rainforest ,
135,31,43,_10_1371_journal_pone_0067575.txt,1,1,1,1,are ,most ,important ,and ,might ,form ,targets ,for ,intervention ,is ,limited. ,This ,study ,investigated ,associations ,between ,mode ,choice ,and ,a ,
278,84,214,_10_1371_journal_pone_0088463.txt,1,1,1,1,yields ,and ,out-,migration ,of ,the ,work ,force. ,This ,was ,combined ,with ,low ,adaptation ,capacity ,as ,evidenced ,by ,poor ,post ,
295,73,113,_10_1371_journal_pone_0085725.txt,1,1,1,1,selective ,"logging, ",municipalities ,where 0–7% ,of ,the ,remaining ,forests ,were ,selectively ,logged ,had ,the ,highest ,malaria ,"risk (1.72, 95% ","CI 1.18–2.51), ",and ,areas ,with ,
343,52,86,_10_1371_journal_pone_0076108.txt,1,1,1,1,NaOCl ,or ,chlorhexidine ,as ,the ,irrigant. ,Samples ,from ,abscesses ,were ,taken ,by ,aspiration ,of ,the ,purulent ,exudate. ,Clinical ,samples ,were ,
46,93,104,_10_1371_journal_pone_0091942.txt,1,1,1,1,Sherman ,live ,"traps, ",and ,fresh ,faecal ,samples ,from 424 ,individuals ,were ,collected ,and ,analyzed ,in ,the ,laboratory. ,The ,quantification ,of ,FCM ,
44,18,71,_10_1371_journal_pone_0064128.txt,1,1,1,1,inflammatory ,brain ,responses ,with ,altered ,neuronal ,glutamatergic ,functions. ,nPMs ,are ,collected ,continuously ,for ,one ,month ,from ,a ,local ,freeway ,and ,
179,90,181,_10_1371_journal_pone_0091058.txt,1,1,1,1,canal ,flare ,index (,DCFI) ,were ,found ,between ,"genders, ",it ,was ,concluded ,the ,most ,significant ,differences ,lay ,in ,the ,isthmus ,of ,
144,10,46,_10_1371_journal_pone_0060158.txt,1,1,1,1,Wales. ,Participants: 617 ,elected ,local ,politicians. ,Interventions: ,Intervention ,group ,politicians ,were ,provided ,with ,tailored ,information ,"packs, ",including ,maps ,of ,casualty ,"sites, ",
302,82,21,_10_1371_journal_pone_0087986.txt,1,1,1,1,of ,complex ,networks ,modelling, ,in ,"particular, ",self-,healing ,capabilities ,are ,implemented ,through ,distributed ,communication ,protocols ,that ,exploit ,redundant ,links ,to 
2,28,254,_10_1371_journal_pone_0065198.txt,1,1,1,1,education ,courses ,for ,drivers ,and ,providing ,optimal ,healthcare ,services ,are ,"recommended.

","
",Habitat ,selection ,studies ,generally ,assume ,that ,animals ,select ,
314,20,171,_10_1371_journal_pone_0064317.txt,1,1,1,1,effects ,on ,"origin, ",destination ,and ,the ,airport ,hierarchy ,was ,then ,built ,to ,predict ,passenger ,flows ,on ,the ,"network, ",and ,compared ,
122,68,124,_10_1371_journal_pone_0082640.txt,1,1,1,1,severity ,of ,"injuries, ",duration ,of ,inpatient ,"stays, ",hospitalization ,cost ,were ,analyzed. ,Results: ,People ,between ,the ,ages ,of 16 ,and 55 ,were ,the ,
319,49,237,_10_1371_journal_pone_0075024.txt,1,1,1,1,the ,mammal ,species ,distributions ,and ,significant ,human ,hunting ,signs ,were ,found ,inside ,these ,protected ,"areas, ",illustrating ,the ,lack ,of ,environmental ,
342,52,59,_10_1371_journal_pone_0076108.txt,1,1,1,1,human ,proteins ,associated ,with ,these ,infections ,were ,identified. ,Samples ,were ,taken ,from ,root ,canals ,of ,teeth ,with ,asymptomatic ,apical ,periodontitis ,
7,4,33,_10_1371_journal_pone_0057255.txt,1,1,1,1,crashes ,and ,"leukoaraiosis, ",a ,common ,magnetic ,resonance ,imaging ,"finding, ",was ,investigated ,in ,this ,study. ,Methods: ,A ,total ,"of 3,930 ",automobile ,"drivers (2,037 ",
301,79,26,_10_1371_journal_pone_0087482.txt,1,1,1,1,was ,launched ,in ,Mexico. ,Two ,years ,later ,"in 2010, ",IMESEVI ,was ,refocused ,as ,part ,of ,a 10-,country ,international ,consortium ,demonstration ,project (,
145,61,149,_10_1371_journal_pone_0079396.txt,1,1,1,1,the ,"results, ",recommendations ,for ,dynamic ,pricing ,and ,incentive ,schemes ,are ,provided ,to ,positively ,influence ,mobility ,patterns ,and ,guide ,improved ,planning ,
127,40,121,_10_1371_journal_pone_0071179.txt,1,1,1,1,of ,apparently ,unaffected ,animals. ,The ,observed ,active ,injuries ,were ,as ,expected ,biased ,by ,"age, ",with ,adults ,suffering ,more ,harm, ,on 
96,75,122,_10_1371_journal_pone_0086742.txt,1,1,1,1,of ,residence. ,Conditional ,logistic ,regression ,analysis ,for ,injurious ,RTC ,was ,performed ,with ,adjustment ,for ,occupation ,and ,number ,of ,medications. ,The ,
67,4,227,_10_1371_journal_pone_0057255.txt,1,1,1,1,Conclusions: ,Multiple ,subcortical ,"leukoaraiosis, ",but ,not ,periventricular ,"leukoaraiosis, ",is ,significantly ,associated ,with ,traffic ,"crashes, ",in ,"particular, ",crossroad ,crashes. ,This ,association ,
9,0,94,_10_1371_journal_pone_0053755.txt,1,1,1,1,Demographic ,and ,Health ,Survey ,geo-,referenced ,cluster ,level ,data ,were ,used ,to ,map ,bed ,net ,coverage (,proportion ,of ,households ,with ,
40,93,150,_10_1371_journal_pone_0091942.txt,1,1,1,1,higher ,in ,breeding ,females. ,In ,"addition, ",FCM ,levels ,were ,positively ,correlated ,with ,body ,weight ,of ,individuals. ,Wood ,mice ,captured ,where ,
63,41,26,_10_1371_journal_pone_0071476.txt,1,1,1,1,conspecifics. ,Especially ,anthropogenic ,noise ,and ,artificial ,night ,light ,are ,closely ,linked ,to ,urbanization ,and ,pose ,new ,challenges ,to ,urban ,species. ,
69,12,5,_10_1371_journal_pone_0061460.txt,1,1,1,1,and ,mitigate ,human-,wildlife ,"conflict.
      
","
",Artificial ,lighting ,is ,strongly ,associated ,with ,urbanisation ,and ,is ,increasing ,in ,its ,"extent, ",brightness ,
113,93,226,_10_1371_journal_pone_0091942.txt,1,1,1,1,wild ,wood ,mice ,populations. ,Understanding ,how ,free-,living ,animals ,are ,influenced ,by ,human ,interventions ,could ,help ,to ,understand ,other ,subtle ,
